18
18
2
(-0.0457096,0.00684715)
(-0.0456995,0.00413748)
(0.62376,-0.102042)
(-0.0597663,-0.515077)
(-0.00134191,1.56929)
(-0.00276435,1.57052)
(-0.00196198,2.62401e-05)
(0.00366617,0.00274338)
(0.00560538,0.00197083)
(0.000628399,1.5702)
(0.000526692,1.57085)
(0.00101056,0.000490996)
(-0.000899468,-0.000269061)
(-0.000464163,-6.96421e-05)
(-0.00092461,0.000616341)
(-0.00168575,0.000939763)
(-0.000701524,-0.00055986)
(-0.00038543,-0.00142914)
(-0.00142601,-0.000201362)
(-0.0024731,-0.000824691)
(-0.00197644,-6.93385e-05)
(-0.00059767,-0.000380914)
(-0.000627566,0.785072)
(0.00367846,0.787416)
(0.000466961,0.785544)
(3.92361e-05,0.000283554)
(0.000201409,-4.59079e-06)
(0.00273378,0.000119176)
(0.000644957,0.000648727)
(-0.000417202,5.12134e-05)
(-2.76821e-05,-5.70504e-05)
(-0.000140652,-0.000232096)
(-0.000119086,-0.00045822)
(0.000138429,0.000638913)
(7.48284e-05,-0.000331528)
(-0.00288616,0.782843)
(0.000665615,-0.000413448)
(-0.00132865,-0.000580576)
(-7.68291e-05,-0.000128477)
(-0.000629587,-0.00105962)
(0.00239535,0.00370109)
(0.00489089,-0.00337213)
(0.00237323,-0.00424039)
(-0.000242545,0.00244509)
(0.00106991,-0.000796009)
(-0.000483325,0.000151738)
(0.00033904,-0.000597021)
(0.000351058,-0.000107859)
(-0.000548004,0.000518233)
(0.000941918,-0.000115587)
(-0.000505311,-0.0004626)
(-0.000155833,4.6044e-05)
(0.000763107,0.000512476)
(0.000368247,0.000416611)
(-0.000505625,0.000854276)
(-0.000106823,-0.000220393)
(-0.00103784,-7.44758e-05)
(1.44208e-05,-0.000427504)
(-0.000930044,-0.00107465)
(-2.79008e-05,0.000361787)
(0.000751039,0.000878391)
(-0.000522304,4.89657e-05)
(0.000347288,0.000540581)
(0.000572549,0.000315612)
(-0.000301821,-0.000220932)
(-0.00116203,0.000274151)
(0.0012635,0.000128271)
(0.00119289,-0.000274321)
(0.00154778,0.000123721)
(-0.000417387,0.000136171)
(-0.00147301,0.000687187)
(0.000486702,-0.000339322)
(0.00159636,-0.000865412)
(0.00218766,0.000695748)
(0.00346973,0.00509053)
(-0.00255532,-0.000780699)
(-0.00351635,-0.00516069)
(-0.00240902,0.000300514)
(-0.00174906,-0.000144987)
(0.00236917,-0.000249793)
(-0.000437861,-0.000347261)
(0.000244979,0.000113479)
(-0.000449038,-0.000135601)
(-0.000231645,1.69546e-05)
(0.000167736,0.000103378)
(-0.000476228,-0.000239539)
(-0.00107493,0.000268793)
(0.000290682,0.000181224)
(0.0008612,-0.000303178)
(0.000651333,-0.000465976)
(0.000277583,0.000230402)
(-0.000794883,0.000366803)
(-0.00041035,-6.37202e-05)
(-0.000870046,-0.000117677)
(0.000358865,-9.28656e-05)
(0.000546279,0.000143175)
(-0.000586007,0.000244843)
(-0.000621255,-6.65035e-05)
(0.000104593,-0.00012808)
(0.000222081,-6.51685e-05)
(-0.000467449,-3.79077e-05)
(-0.000694731,-3.53597e-06)
(0.000263284,2.64421e-05)
(0.00043605,5.95847e-05)
(-3.47403e-05,-0.000360675)
(7.54265e-06,-0.000465252)
(0.00017809,-0.000127936)
(-0.000108659,0.00019559)
(-0.000243121,-9.26935e-05)
(-0.000300867,-0.00023053)
(0.000231511,-3.15054e-05)
(6.28597e-07,5.7194e-05)
(-0.000360408,-9.62502e-05)
(-0.000191903,-0.000135803)
(-0.000152281,0.000216363)
(-0.000133803,-4.83132e-05)
(0.573322,-1.19852)
(-0.0105664,0.0316225)
(0.0846582,-0.00650359)
(-0.021161,-0.0662398)
(0.026837,0.137969)
(0.0131572,0.00262904)
(-0.0553802,0.0154244)
(0.148539,0.425133)
(-0.132906,0.601702)
(-0.148779,0.860094)
(-0.1982,0.310258)
(0.0745992,0.35247)
(-0.00964994,-0.127715)
(-0.0291261,0.00171917)
(-0.00190788,-0.00383498)
(-0.01042,0.0067668)
(0.0265867,-0.0280059)
(0.00944945,-0.0096463)
(0.0142133,-0.0120494)
(0.0888836,-0.0699844)
(-0.675791,0.507891)
(0.140168,-0.096906)
(0.099052,-0.114865)
(-0.0255227,-0.0307408)
(0.250111,1.05332)
(-0.128165,-0.0992476)
(0.213412,0.224846)
(-0.00910625,0.0457828)
(-0.0131729,-0.0405524)
(-0.0412058,-0.0122412)
(0.0177791,0.0612335)
(0.212489,0.213848)
(0.0611809,0.249827)
(0.0172788,0.00505619)
(0.0271639,0.00329462)
(0.0400571,-0.0145908)
(0.241954,-0.545939)
(0.037854,-0.0394881)
(0.0456785,0.0736495)
(0.236299,0.185084)
(-1.01753,-1.06952)
