32
32
2
(-0.149714,-0.00377734)
(-0.158285,0.0146609)
(0.68,-0.624666)
(-0.475776,0.0600473)
(0.0041267,1.57532)
(-0.0271114,1.5668)
(0.00942106,0.000140741)
(0.00985347,0.000240509)
(-0.00125278,-0.00368523)
(0.00477157,-0.00222881)
(0.00131387,-0.00524767)
(-0.00285092,1.58675)
(-0.0129723,1.55604)
(-0.00828947,-0.0183605)
(-0.0228246,-0.00523317)
(0.00602917,0.00513804)
(0.00354855,-0.000214839)
(-8.8243e-05,-0.00292162)
(0.00384229,0.00333881)
(0.0159427,0.00502307)
(0.0140326,0.00531911)
(0.00233021,0.00154222)
(-0.00172407,0.0156048)
(0.00190785,-0.0025472)
(2.4927e-06,0.00133054)
(0.00125162,-0.000117581)
(-0.000999994,-0.000766369)
(-0.000223769,-0.00272868)
(0.000711626,-0.00169507)
(0.00361069,0.000511701)
(0.00367714,-0.00103517)
(0.000126496,-0.00393336)
(0.000473467,7.44227e-05)
(0.000791537,-0.00285838)
(0.000680437,0.000299373)
(0.00249364,-0.00135802)
(-0.00144317,0.789847)
(-0.00262095,0.793871)
(0.000916967,0.780871)
(-0.00390451,0.00177514)
(-0.00188205,-0.000279512)
(8.31054e-05,0.000547193)
(-0.00260045,-0.000911552)
(-0.00686968,0.00104708)
(-0.00598048,0.000349944)
(-0.00163425,-1.31424e-05)
(-0.00182779,-0.00594387)
(-0.000227088,0.00136158)
(-0.00120482,-0.00136603)
(-0.00045443,0.0013495)
(1.80945e-05,-0.000238828)
(0.000207762,0.00141706)
(-0.000384724,0.000511223)
(-0.00175443,0.000163498)
(-0.001331,0.00129694)
(0.000280383,0.00197632)
(-0.000611069,0.000923046)
(-0.000361372,0.00189918)
(-0.000599716,0.00083119)
(-0.00129195,0.000410229)
(-0.00259827,0.00126777)
(0.00309329,0.77943)
(-0.00488521,0.00223172)
(-0.00492666,0.00210451)
(0.000582688,0.00148256)
(-0.00148875,0.00214816)
(0.000639086,0.00160311)
(-0.000963968,-0.00612866)
(0.133911,-0.108809)
(0.0824462,-0.0464614)
(-0.0390456,-0.0293693)
(0.0660241,-0.0443602)
(-0.00406935,0.0065977)
(-0.0127288,0.00820251)
(0.00545516,0.00184419)
(0.019114,-0.0102084)
(-0.0121555,0.00271442)
(-0.00245589,-0.00318881)
(-0.00836019,-0.000555297)
(-0.00137293,-0.00313315)
(-0.00191138,0.0123982)
(-0.00342819,0.00252177)
(-0.00657751,0.0056899)
(-0.00396539,0.00566142)
(-0.00261839,0.00528598)
(-0.00332452,0.00481277)
(-0.000899132,-0.00939969)
(-0.00915329,0.00483868)
(-0.0280542,0.00662025)
(-0.0089648,0.0172817)
(0.045602,-0.00806569)
(-0.00506055,0.0141719)
(0.0666476,0.00431469)
(0.0224652,-0.0103076)
(0.00927525,-0.00128041)
(-0.0168775,0.00309124)
(-0.0144125,0.0039599)
(0.00297966,-0.00530752)
(-0.0035599,0.0137551)
(-0.0140407,0.00495841)
(-0.0130817,-0.00742618)
(0.00255414,-0.0122626)
(0.00117748,0.0066586)
(0.0050581,0.00781585)
(-0.017558,0.00121795)
(0.00451222,0.00884936)
(-0.00427083,-0.0060157)
(-5.15635e-05,-0.0127499)
(-0.0200429,0.0142036)
(-0.0163266,-0.000621158)
(0.00350133,-0.0113202)
(0.00688395,0.00853718)
(-0.0102688,0.00312488)
(-0.0105253,0.00847815)
(-0.000758824,0.00178928)
(0.00130696,-0.00179963)
(-0.00503324,0.00246176)
(-0.00928506,-0.00410186)
(0.00831798,0.00655262)
(-0.00378973,-0.00690365)
(-0.00478774,0.00503073)
(-0.0104614,0.00432564)
(-0.00416805,0.00572752)
(0.00111471,-0.00121515)
(-0.0125698,-0.00316283)
(-0.00549982,0.00116231)
(-0.00479913,0.00345464)
(-0.00326264,0.00522877)
(-0.00288873,0.00568578)
(-0.000947979,0.00282314)
(-0.00291685,0.000839389)
(-0.002827,0.00177675)
(-0.00837086,0.00540722)
(-0.000946195,0.00335282)
(-0.00372431,0.00156768)
(-0.00662366,0.00409105)
(0.0167597,-0.0112322)
(-0.00710128,0.00611377)
(-0.0521944,0.00141123)
(-0.00598095,0.00586877)
(-0.0616641,0.0137911)
(-0.00638577,0.0087576)
(0.000483727,0.00234827)
(0.00636795,-0.007471)
(0.00661765,-0.00644564)
(-2.98809e-05,0.00311365)
(-0.000964154,-0.00660846)
(0.0056522,-0.00673735)
(0.00904858,0.000518082)
(-0.00111498,0.00454667)
(-0.0060024,-0.000171008)
(0.00271866,-0.00325272)
(0.00967537,-0.00441904)
(0.00128513,-0.0048196)
(0.000923529,0.00365468)
(0.00117642,0.00464032)
(0.00913925,-0.0129026)
(0.00753679,-0.00359377)
(0.000889106,0.00404842)
(-0.00341387,-0.00246941)
(0.00502842,-0.00592097)
(0.00310676,-0.00633519)
(0.000892626,-0.00177791)
(0.000282751,0.000498719)
(0.00397464,-0.0034658)
(0.00596996,-0.00227591)
(-0.00543908,-0.00284661)
(0.00206219,0.00121685)
(0.0016429,-0.00477991)
(0.00342811,-0.00512153)
(0.000763401,-0.00355594)
(0.000853726,1.0106e-05)
(0.00721539,-0.00235409)
(0.00343545,-0.00282626)
(0.00217548,-0.00342356)
(0.000630782,-0.00312032)
(0.00166084,-0.00364609)
(0.00141247,-0.00281076)
(0.00200065,-0.00181112)
(0.00193053,-0.00285493)
(0.0026742,-0.00542093)
(0.000453296,-0.00270473)
(0.00219152,-0.00227921)
(0.00256431,-0.00365928)
(0.00120841,-0.00480452)
(0.00292303,-0.00828439)
(0.00092324,0.00106113)
(-0.00433563,0.00726691)
(0.00631671,-0.00641815)
(0.00282135,-0.00106315)
(0.0064197,-0.00115503)
(0.00226138,-0.000303623)
(-0.00155922,-0.00581882)
(0.00161701,-0.00181245)
(0.00191132,-0.00418277)
(0.0020152,-0.00406261)
(0.0010327,-0.00354197)
(0.00160722,-0.00351887)
(0.00216386,0.00184611)
(0.00247875,-0.00449032)
(0.30067,0.226993)
(0.019495,-0.0108691)
(-0.0095077,-0.0110615)
(0.000904811,0.0224386)
(-0.0130281,0.00672285)
(0.424689,-0.675216)
(0.0185953,-0.013567)
(-0.0431032,-0.00392671)
(-0.0517367,0.0202048)
(-0.0325779,0.0380108)
(-0.0560592,-0.0077168)
(-0.0259248,0.0171051)
(-0.0575934,0.00464664)
(-0.0239367,0.00470695)
(-0.00509343,0.000266818)
(-0.00471919,-0.000211447)
(-0.00853418,0.0309211)
(0.0475232,-0.152446)
(0.00273666,0.0344994)
(0.0219218,-0.0077593)
(0.0618053,-0.0497956)
(0.0425582,-0.0477388)
(0.0272229,-0.0131256)
(0.00664887,-0.0117896)
(0.0313242,-0.00535123)
(0.00879008,-0.00850493)
(0.00180416,-0.00852648)
(0.00359827,-0.00527583)
(-0.00230693,-0.0126196)
(0.0022483,0.0277299)
(0.00578251,-0.00865572)
(-0.0029327,-0.0158426)
(0.00562738,-0.00865424)
(0.177572,-0.0960649)
(0.219069,-0.16573)
(-0.0415037,-0.133179)
(0.0606929,0.0666097)
(0.0735469,0.101832)
(0.183147,0.0568876)
(-0.054785,-0.147982)
(0.131587,0.17335)
(0.0608171,0.111543)
(0.0595584,0.0306815)
(-0.0651826,-0.0157246)
(-0.00607378,0.0190104)
(-0.0432149,0.0108583)
(-0.0465383,-0.00551182)
(0.00601302,0.0186994)
(-0.109519,-0.0455955)
(-0.0519331,-0.000304568)
(-0.0382429,0.0386911)
(0.0382544,-0.00491018)
(-0.00405196,-0.00520068)
(0.0265999,-0.021878)
(0.0326133,-0.0158342)
(0.0753936,0.0042473)
(0.0335876,-0.0220706)
(0.0169573,-0.0372359)
(-0.0135987,-0.00189039)
(0.840804,-0.148155)
(1.00396,-0.168729)
