18
18
2
(0.0110594865952362, 0.013162141472740597)
(-0.005405501022673876, 0.0012286928190748904)
(0.013202404472340352, 0.0009295112851840459)
(-0.011448443880491724, -0.015442898908245777)
(0.019702139011467324, 1.576858237201275)
(0.01600431180022538, 1.6093641569956518)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.042446699697404305, 1.5416160728810482)
(0.004253942820427204, 1.6038308336119893)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0018506151458603127, 0.7533079293801066)
(0.04808234127652472, 0.7395783803991118)
(0.04163894897673286, 0.7903514774564866)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(-0.014800701814516216, 0.7621426802092514)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(-0.01472024817935532, 0.010562814678613083)
(0.017324230125622335, -0.013598669457856807)
(0.01451444943930731, 0.015962987472852914)
(-0.012072736245736123, 0.012872200428707506)
(-0.011633669378754487, -0.0044918060234923375)
(0.01983267953502327, -0.008786971087332849)
(0.01617077478797269, 0.009509857100441162)
(-0.019547813542486612, 0.002140108785336694)
(0.005700622826763948, 0.009701735555804333)
(0.013521412648675448, 0.004283647218863385)
(0.009568565713070512, 0.004596007065441832)
(-0.006416123288580211, -0.007075571480950136)
(-0.0052198272739581155, 0.005619867389926805)
(-0.008816124405383765, -0.019261246980805117)
(-0.0198407439531747, -0.01984155367413531)
(-0.014212721935289357, -0.00602069142317311)
(-0.018609408500813204, -0.014008051036269037)
(-0.00789704636079621, 0.017951744215787)
(0.004820427742809135, -0.009841982954336222)
(0.007750440705861248, 0.0072280239175798)
(0.00272799976438983, -0.00281500198602493)
(-0.0029127644016416054, 0.004812175192682146)
(-0.01803476512906973, -0.01522383079496481)
(0.00571497809260396, -0.01980112221375491)
(0.01878508022303532, 0.00422451421411938)
(0.003075681540556792, 0.008412126742010684)
(-0.013619274872129404, 0.009360387089966685)
(0.005817045522403803, 0.014584490566995801)
(-0.016767950606781858, 0.001450804766345697)
(-0.007294684214613847, 0.008447537239329006)
(0.01979364428243157, 0.012436869033287525)
(0.007627013309970141, -0.012237393082131285)
(-0.011485868442325025, 0.010531362829241272)
(-0.0016852753047557423, 0.0041451508769379955)
(0.004209078861045188, -0.01810775048950778)
(0.01302044162454378, -0.0084252487162943)
(0.005249653518044113, 0.011080895906142403)
(-0.01099861191749748, 0.0039050527241341593)
(0.0162504985143203, 0.0002397655589086467)
(0.0074059024579021535, -0.005109592941974102)
(-0.008861954234031888, 0.01313478194907772)
(-0.015903240367677797, 0.009664582684367637)
(-0.004069521888288819, -0.0002904004779502589)
(0.01694985303490507, -0.007381964568314068)
(-0.005567565095424203, 0.012446987726209629)
(-0.01595443387537652, 0.006190124744612509)
(-0.01126634209563703, 0.018160291728506292)
(-0.0051460373509641544, 0.01685473799997886)
(0.012469430859545043, 0.015097498070070743)
(-0.01970009688212315, 0.005435063157639917)
(-0.009497654630143853, 0.0019594743075646813)
(0.019039339775408965, 0.0016609516059217944)
(-0.017851048464981548, -0.0190672275428106)
(-0.005231864519127778, 0.012533067214645617)
(0.01377140024778612, 0.012254411137449881)
(-0.0022244421668287774, 0.016567504462927925)
(-0.012043356147966628, -0.013729833597145302)
(0.018420874641534104, 0.01230747373831545)
(0.010036506991862574, 0.014674939472610053)
(-0.018828366521883577, 0.018168762911597133)
(0.011720310399399927, -0.010385911553731324)
(-0.003274811895399261, -0.016588984950817603)
(0.00926653369086199, 0.008294600188261857)
(0.006516350525340813, -0.015135488237382222)
(-0.001992370811891977, 0.00806527027570255)
(0.012434014085400685, -0.012151014851633985)
(0.00338113381185436, -0.006005776375373668)
(0.007027988343244567, -0.009175832540300109)
(-0.007723144714025079, -0.0043320121251726375)
(0.0051571876122343905, 0.008992086798142345)
(-0.004133803994704302, 0.004348410001650787)
(0.004323058577752241, 0.0006695069908145568)
(0.016036165231790637, -0.002130473747467119)
(0.008857265549777763, 0.016891767922547686)
(-0.017244087157219784, -0.01757607412016829)
(-3.5722908273077e-05, 0.007959688359933593)
(0.0042126278208002655, -0.008524763675672642)
(-0.01807443658082464, 0.016829265384598138)
(0.00134370929524533, 0.011402501532580702)
(0.012456871482297452, -0.009485137794846886)
(0.0176372331219478, -0.009535376137896727)
(-0.018617208670175037, -0.015595770525770894)
(-0.0036800576852442646, 0.012921906214345658)
(0.0006877460774002353, -0.012012365806981142)
(0.008653441324079058, -0.011599609854399055)
(0.016766453630156653, -0.018608047257202522)
(0.005413091421008218, -0.0006972570192079441)
(0.005447251463626941, -0.007656530987989685)
(0.012951975272581335, 0.015988154896022486)
(0.016852476672619066, -0.001434086340884333)
(-0.016216890664462195, -0.01298039838883608)
(0.015015751440388901, -0.005279362043820033)
(-0.0034014569846773667, -0.009229932649365967)
(0.008582385419872449, -0.01372705866202971)
(0.01319289526768599, -0.009002311009957093)
(0.0, 0.0)
(0.0, 0.0)
(0.03251266552552443, 0.021563743389687452)
(-0.018523001468424918, 0.057539962281426285)
(-0.05283245544693469, -0.0938717383068415)
(-0.04070326774577296, 0.04098448017829546)
(0.022557331155993524, -0.04546899875783381)
(-0.01791875589687415, -0.04037902877951343)
(0.07516025082500938, -0.004411363235475942)
(-0.04103932762735301, -0.01057601556709357)
(0.07120784393429318, 0.0026327996457159663)
(0.03348659825721439, -0.0085758114573632)
(0.02428493599018682, -0.01925560841856749)
(-0.09678034484511984, -0.017308711705641494)
(0.013097684459727534, -0.0019272395915188411)
(-0.01947260658381939, 0.014560188748739279)
(0.01995939181408866, 0.009704470585273173)
(0.0020800158125747316, -0.00691370821331434)
(-0.013242536642960006, -0.017666467850990242)
(-0.0058557283264860024, 0.017783053249373428)
(-0.0863496704404714, 0.05088614287424258)
(-0.02293840730440826, -0.0397681320344683)
